STID,MDStatus,SCHID,CLASSROOM,TREAT,AGE,SEX,FRL,ELL,RACE,SPED,prOOOPos,poOOOPos,prCR,poCR,prLR,poLR,prBF,poBF,pdROBOC,prVSP,poVSP,pdVSPt1
34184,1,24,322,2,7.94250513347023,2,0,0,1,0,8,13,12,13,10,3,6,25,9,5,14,4
34185,1,24,322,3,7.41683778234086,2,1,1,4,0,8,16,13,18,7,11,18,50,9,3,27,11
34205,1,24,323,2,7.09103353867214,1,1,1,5,0,8,18,14,14,3,7,29,45,7,3,6,1
34217,1,24,323,3,7.72073921971253,2,0,0,1,0,6,15,14,16,19,15,24,42,8,3,14,7
34224,1,24,324,3,7.49897330595483,2,0,1,4,0,10,15,13,19,1,6,5,37,2,0,2,3
34225,1,24,324,1,7.4715947980835,2,0,1,4,0,12,9,7,18,1,8,9,22,2,1,5,3
34227,1,24,324,2,7.44695414099932,1,1,0,1,0,6,19,18,22,8,13,8,23,4,2,1,5
34250,1,24,328,4,7.66872005475702,1,1,1,4,0,13,9,18,22,6,13,21,51,7,2,4,2
34287,1,24,321,4,7.0280629705681,2,0,1,3,1,6,21,7,18,1,7,24,53,8,4,6,4
34313,1,24,325,2,7.07186858316222,2,1,0,3,0,18,9,13,9,2,4,0,30,8,1,4,1
34323,1,24,325,1,7.83025325119781,1,1,1,5,0,6,12,9,12,6,5,24,27,8,6,4,3
34324,1,24,325,3,7.52087611225188,1,0,1,5,0,9,19,12,14,11,8,27,52,8,2,13,11
